Ship_Name;MMSI;Origin_Port;Destination_Port;Draught;Length;Width;Congestion;Wind;Visibility;Arrival_Time;Crew_ETA
GTM DENMARK         ;255806384;Rotterdam;Le;7.2;130.0;19.0;4.0;;;2026-05-22 06:39:25.085047069;{'Day': 29, 'Hour': 7, 'Minute': 30, 'Month': 5}
DELTA;244020258;Rotterdam;Antwerp;0.0;111.0;12.0;11.0;1.79;10000.0;2026-05-22 06:41:40.658970304;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
BLUE INGE;244041722;Rotterdam;Antwerp;1.9;110.0;12.0;11.0;1.79;10000.0;2026-05-22 06:41:44.275561365;{'Day': 26, 'Hour': 21, 'Minute': 0, 'Month': 5}
CHOPIN;205278890;Rotterdam;Antwerp;3.5;135.0;15.0;11.0;1.79;10000.0;2026-05-22 06:41:45.704598637;{'Day': 11, 'Hour': 18, 'Minute': 5, 'Month': 5}
STOLT REDSHANK      ;235089046;Rotterdam;Hamburg;5.2;90.0;16.0;12.0;5.14;10000.0;2026-05-22 06:41:46.228178380;{'Day': 28, 'Hour': 22, 'Minute': 0, 'Month': 5}
MSC MADRID          ;256151000;Piraeus;Le;11.7;270.0;40.0;4.0;;;2026-05-22 06:41:47.538744938;{'Day': 24, 'Hour': 2, 'Minute': 0, 'Month': 5}
PRINSES;244000876;Antwerp;Rotterdam;3.8;135.0;18.0;16.0;4.22;10000.0;2026-05-22 06:41:59.423342063;{'Day': 24, 'Hour': 4, 'Minute': 14, 'Month': 5}
MIGLIO;244003082;Rotterdam;Antwerp;4.1;135.0;19.0;11.0;1.79;10000.0;2026-05-22 06:42:00.131964168;{'Day': 17, 'Hour': 17, 'Minute': 47, 'Month': 5}
MARY  A             ;247373700;Antwerp;Rotterdam;6.3;113.0;18.0;16.0;4.22;10000.0;2026-05-22 06:42:01.612147825;{'Day': 23, 'Hour': 6, 'Minute': 0, 'Month': 5}
ALORBA;244890610;Antwerp;Rotterdam;2.2;183.0;12.0;16.0;4.22;10000.0;2026-05-22 06:42:03.727868221;{'Day': 24, 'Hour': 4, 'Minute': 47, 'Month': 5}
SAINTE-MAXIME;205580590;Antwerp;Rotterdam;3.4;135.0;23.0;21.0;4.22;10000.0;2026-05-22 06:48:06.586848824;{'Day': 28, 'Hour': 21, 'Minute': 0, 'Month': 5}
REGGESTROOM;244630015;Antwerp;Rotterdam;2.0;86.0;12.0;21.0;4.22;10000.0;2026-05-22 06:48:26.073926304;{'Day': 14, 'Hour': 6, 'Minute': 59, 'Month': 5}
EVER CORE           ;351753000;Hong;Singapore;7.1;171.0;28.0;164.0;4.12;10000.0;2026-05-22 06:50:38.323763861;{'Day': 23, 'Hour': 16, 'Minute': 0, 'Month': 5}
STRAUSS;205575390;Antwerp;Rotterdam;2.5;110.0;14.0;21.0;4.22;10000.0;2026-05-22 06:57:50.069999130;{'Day': 23, 'Hour': 13, 'Minute': 29, 'Month': 5}
ECO MAESTRO         ;256339000;Antwerp;Rotterdam;8.2;148.0;27.0;21.0;4.22;10000.0;2026-05-22 07:00:04.916837758;{'Day': 24, 'Hour': 9, 'Minute': 0, 'Month': 5}
FLORIDA;205509390;Antwerp;Rotterdam;2.5;86.0;10.0;21.0;4.22;10000.0;2026-05-22 07:00:12.517938861;{'Day': 22, 'Hour': 19, 'Minute': 46, 'Month': 5}
IMPULS;244700568;Antwerp;Rotterdam;1.4;173.0;12.0;21.0;4.22;10000.0;2026-05-22 07:11:55.496913462;{'Day': 16, 'Hour': 0, 'Minute': 0, 'Month': 10}
ELBWIND;210017000;Bremerhaven;Hamburg;6.7;151.0;23.0;12.0;5.14;10000.0;2026-05-22 07:38:15.988609259;{'Day': 26, 'Hour': 20, 'Minute': 0, 'Month': 5}
MY WAY;244001686;Antwerp;Rotterdam;4.3;135.0;18.0;10.0;4.22;10000.0;2026-05-22 08:17:06.966765384;{'Day': 20, 'Hour': 16, 'Minute': 18, 'Month': 5}
VIRAYA;244209247;Antwerp;Rotterdam;1.4;135.0;12.0;10.0;4.22;10000.0;2026-05-22 08:32:41.885346332;{'Day': 22, 'Hour': 4, 'Minute': 21, 'Month': 5}
OOCL LILAC          ;477140100;Singapore;Hong;12.5;367.0;51.0;20.0;;;2026-05-22 08:32:53.420700793;{'Day': 23, 'Hour': 12, 'Minute': 0, 'Month': 5}
INCUBATOR;244740786;Rotterdam;Antwerp;2.0;110.0;12.0;12.0;1.79;10000.0;2026-05-22 08:34:34.423069468;{'Day': 31, 'Hour': 9, 'Minute': 6, 'Month': 5}
MAXIMA;244670098;Antwerp;Rotterdam;3.0;135.0;17.0;11.0;4.22;10000.0;2026-05-22 08:47:15.512385606;{'Day': 18, 'Hour': 23, 'Minute': 16, 'Month': 5}
INDEPENDENT;244182422;Antwerp;Rotterdam;1.5;85.0;11.0;11.0;4.22;10000.0;2026-05-22 08:58:55.915464701;{'Day': 27, 'Hour': 19, 'Minute': 21, 'Month': 5}
ATLANTIC SEA        ;215800000;Antwerp;New;9.8;296.0;38.0;4.0;;;2026-05-22 09:46:38.762957315;{'Day': 6, 'Hour': 18, 'Minute': 0, 'Month': 5}
PETER VAN AEMSTEL;244710299;Antwerp;Rotterdam;1.8;39.0;6.0;9.0;4.22;10000.0;2026-05-22 11:08:02.538640187;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
CHIMO;244130477;Antwerp;Rotterdam;2.0;110.0;12.0;7.0;4.22;10000.0;2026-05-22 12:42:09.405328268;{'Day': 26, 'Hour': 15, 'Minute': 52, 'Month': 5}
STELLA ORION;246553000;Le;Rotterdam;5.1;104.0;16.0;7.0;4.22;10000.0;2026-05-22 13:39:11.580386933;{'Day': 23, 'Hour': 7, 'Minute': 0, 'Month': 5}
UNITED LNG I;205587990;Antwerp;Rotterdam;2.7;135.0;21.0;16.0;4.22;10000.0;2026-05-22 16:21:29.947406058;{'Day': 22, 'Hour': 4, 'Minute': 0, 'Month': 5}
LEONIE DEYMANN;211237970;Antwerp;Rotterdam;0.0;135.0;12.0;15.0;4.22;10000.0;2026-05-22 18:18:54.851637586;{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}
EQ;244001504;Antwerp;Rotterdam;1.6;85.0;12.0;15.0;4.22;10000.0;2026-05-22 18:37:31.779573103;{'Day': 25, 'Hour': 16, 'Minute': 17, 'Month': 5}
JULIA;211544420;Antwerp;Rotterdam;2.4;86.0;10.0;15.0;4.22;10000.0;2026-05-22 18:46:40.993797806;{'Day': 30, 'Hour': 10, 'Minute': 27, 'Month': 5}
EVER MAGI           ;563219100;Savannah;New;12.6;366.0;51.0;7.0;;;2026-05-22 19:19:20.474319661;{'Day': 21, 'Hour': 7, 'Minute': 0, 'Month': 5}
RHOON C             ;246476000;Bremerhaven;Rotterdam;4.1;82.0;11.0;25.0;4.22;10000.0;2026-05-22 21:28:13.463443703;{'Day': 23, 'Hour': 6, 'Minute': 0, 'Month': 5}
